HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Deck_of_spaceship,Number_of_cabin,Port_or_Starboard
Europa,False,TRAPPIST-1e,1.9446359927820185,False,-0.3328910286148223,2.0993028114283154,-0.2669418066750105,-0.0970779170135181,3.2727971441645063,0,C,-0.9293372444902539,P
Mars,True,TRAPPIST-1e,-0.7523468012663062,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,F,-0.9234706353304949,S
Europa,True,TRAPPIST-1e,0.2849542733676649,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,B,-0.4991192394412579,S
Earth,False,TRAPPIST-1e,0.9764883231236455,False,-0.12380179172769254,0.4640785741223534,-0.2886851333869672,-0.26913426473608887,-0.08366155694060554,0,F,1.6069934489122364,P
Earth,False,TRAPPIST-1e,-0.6831933962907081,False,-0.3328910286148223,-0.2810556690559196,0.8319324740754184,-0.2682519244913577,-0.23913784554765433,0,G,-1.1522683925610973,P
Earth,False,PSO J318.5-22,-0.4065797763883158,False,-0.20036968129199356,-0.27858833712486575,-0.2886851333869672,-0.26295788302297096,0.26753194203061054,0,F,1.8670797883282204,S
Mars,False,TRAPPIST-1e,0.008340653465272605,False,0.8951401232433903,-0.2810556690559196,-0.2418533527765989,-0.1659004561025464,-0.2327358807226582,0,E,-0.8706711528926636,P
Europa,False,TRAPPIST-1e,0.49241448829445905,False,-0.28724478675918125,1.9302905741511243,-0.23683566199691655,0.9661420778874961,-0.2702331032690641,0,D,-0.725961460285274,P
Earth,False,TRAPPIST-1e,0.6307212982456551,False,-0.3328910286148223,0.35119813827663826,-0.2502161707427361,-0.26913426473608887,-0.2702331032690641,1,F,0.24398458746155344,P
Earth,True,TRAPPIST-1e,0.14664746341646873,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,0,G,-0.2898768460765189,P
Europa,False,TRAPPIST-1e,-0.8215002062419042,False,-0.3328910286148223,-0.05529479736448919,39.00317879871208,0.04497886238819417,-0.2674894040583515,1,B,-0.6008071315437479,P
Earth,False,TRAPPIST-1e,-0.12996615648592352,False,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,0.36262135049140176,-0.2702331032690641,0,F,2.228854019846694,P
Earth,False,TRAPPIST-1e,-0.61403999131511,False,-0.11349457582480586,-0.26563484448683283,0.6462779152271724,-0.2506051195967351,-0.2400524119512252,1,E,-0.43263100229732215,P
Earth,False,55 Cancri e,-0.5448865863395119,False,-0.3328910286148223,-0.24651302202116523,-0.2886851333869672,-0.26913426473608887,1.4839052587798747,0,F,-1.0916467645769206,S
Mars,False,TRAPPIST-1e,0.6998747032212532,False,1.9273341729467564,-0.2810556690559196,0.2799864883103628,-0.26913426473608887,0.3909984065126787,0,F,-0.6575176867547519,S
Europa,True,55 Cancri e,-0.15762751847616277,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,B,-0.6555621503681656,S
Earth,True,TRAPPIST-1e,1.1839485380504398,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,G,0.26940656048717593,P
Earth,False,TRAPPIST-1e,1.1839485380504398,False,-0.3211113532972375,0.12111943570586355,-0.2886851333869672,-0.26472256351243323,-0.18792212694768531,0,G,-0.5832073040644707,S
Earth,False,TRAPPIST-1e,1.3914087529772339,False,1.1690175743772364,-0.2810556690559196,-0.28534000620051236,-0.2673695842466266,-0.2702331032690641,1,G,0.5490482637690234,S
Earth,True,55 Cancri e,-0.61403999131511,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,G,0.6683359833507905,P
Earth,False,TRAPPIST-1e,1.8063291828308223,False,-0.2710477331975022,-0.27858833712486575,1.743479632384374,-0.26913426473608887,-0.2674894040583515,1,F,0.1520743772919952,S
Europa,False,TRAPPIST-1e,1.1839485380504398,False,-0.3328910286148223,1.7292030217702328,0.9841357610591156,3.633456637709709,-0.2702331032690641,0,B,-0.720094851125515,S
Mars,False,TRAPPIST-1e,-0.47573318136391385,False,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,0,E,-0.7416057513779648,S
Earth,False,TRAPPIST-1e,1.598868967904028,False,0.8583286378759379,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,F,-0.023923897500775906,S
Mars,False,TRAPPIST-1e,-1.9971080908270713,False,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,F,-0.025879433887362253,P
Earth,False,TRAPPIST-1e,-0.5448865863395119,False,-0.3328910286148223,-0.19716638340008755,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,0,G,-0.14125608069595666,P
Earth,False,55 Cancri e,-0.4065797763883158,False,-0.32700119095602986,0.22820164151360212,-0.28534000620051236,-0.045019842574381304,0.2062559929913619,0,F,-0.5832073040644707,P
Earth,True,TRAPPIST-1e,-0.12996615648592352,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,G,1.7165034865610718,P
Mars,False,55 Cancri e,1.8754825878064203,False,0.2737622502407936,0.02242615846370817,-0.27363206104792026,-0.1659004561025464,-0.2400524119512252,1,D,-0.901959735078045,S
Earth,False,TRAPPIST-1e,1.52971556292843,False,-0.3328910286148223,-0.2810556690559196,-0.28199487901405745,-0.26913426473608887,-0.2702331032690641,0,G,-0.8863154439853543,P
Europa,True,TRAPPIST-1e,0.8381815131724494,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,D,-0.9645368994488082,P
Europa,True,55 Cancri e,-0.7523468012663062,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,B,-1.0232029910463984,P
Mars,True,TRAPPIST-1e,-0.7523468012663062,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,F,1.7380143868135216,S
Earth,False,TRAPPIST-1e,-1.9971080908270713,False,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,0,G,0.8286899670508708,P
Mars,False,TRAPPIST-1e,-0.4065797763883158,False,1.0379686864691058,-0.2810556690559196,-0.06456161189449011,-0.26913426473608887,0.11479935263427439,0,F,0.31829497015183456,S
Earth,False,TRAPPIST-1e,-0.2682729664371197,False,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26384022326770207,1.5488394734334068,0,F,2.424407658505329,P
Earth,False,PSO J318.5-22,0.9764883231236455,False,-0.3328910286148223,-0.17742772795165646,-0.28366744260728494,-0.26913426473608887,0.14315091114497153,1,E,-0.6144958862498523,S
Earth,True,TRAPPIST-1e,-0.5310559053443924,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,0,G,-0.3368097193545912,S
Mars,True,55 Cancri e,0.14664746341646873,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,0,E,-0.9606258266756355,P
Earth,False,TRAPPIST-1e,0.35410767834326295,False,-0.282827408515087,-0.14350191389966555,2.318841508454614,-0.26913426473608887,-0.2702331032690641,1,G,-0.4013424201119406,S
Earth,False,55 Cancri e,0.35410767834326295,False,0.12209893052688961,0.053267807601881725,-0.2886851333869672,-0.26913426473608887,-0.21993195107266594,0,E,-0.6457844684352338,S
Earth,False,TRAPPIST-1e,-0.1991195614615216,False,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,0.4074606017769545,0,F,2.424407658505329,P
Earth,False,TRAPPIST-1e,2.4287098276112054,False,-0.3328910286148223,0.10323127920572289,2.767088551439568,-0.26913426473608887,-0.2702331032690641,1,F,1.1943752713425175,P
Mars,False,TRAPPIST-1e,2.359556422635607,False,4.212591184558202,-0.2810556690559196,-0.18833131779332077,-0.2673695842466266,-0.2702331032690641,0,D,-0.8745822256658362,P
Europa,True,TRAPPIST-1e,1.1839485380504398,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,D,-0.7455168241511374,P
Europa,False,TRAPPIST-1e,0.2849542733676649,False,-0.3328910286148223,-0.2804388360731561,-0.2886851333869672,7.33663864484627,0.7019509837267763,0,C,-1.150312856174511,S
Earth,True,PSO J318.5-22,0.9764883231236455,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,0,G,-0.6496955412084066,P
Mars,True,TRAPPIST-1e,-0.5448865863395119,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,F,0.5959811370470957,S
Europa,True,55 Cancri e,0.8381815131724494,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,C,-0.7024950236462378,P
Earth,True,TRAPPIST-1e,1.598868967904028,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,G,-0.3231209646484868,S
Earth,False,TRAPPIST-1e,0.5615678932700571,False,-0.007477497966542897,-0.2810556690559196,-0.23516309840368912,-0.23560533543630585,0.20168316097350755,0,G,-0.21947753615941046,P
Earth,False,TRAPPIST-1e,-0.2682729664371197,False,-0.3181664344678413,-0.2810556690559196,1.2300026092635494,-0.26472256351243323,-0.2702331032690641,1,F,0.9108224952874973,P
Europa,True,55 Cancri e,1.322255348001636,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,B,-0.8217827432280049,S
Earth,False,TRAPPIST-1e,1.6680223728796262,False,1.1616552773037458,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.26931853686549323,0,G,-0.6927173417133061,P
Mars,False,55 Cancri e,-0.47573318136391385,False,-0.15030606119225828,-0.2810556690559196,2.6600444814730118,-0.26913426473608887,0.6571372299518035,0,F,0.12274133149320002,S
Europa,True,55 Cancri e,-1.0289604211686985,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,C,-0.6829396597803744,S
Europa,True,TRAPPIST-1e,0.35410767834326295,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,B,-1.0173363818866394,P
Mars,False,TRAPPIST-1e,-0.8906536112175022,False,-0.07962800928674964,-0.04061417237471857,0.2766413611239079,-0.2611932025335087,-0.2702331032690641,0,F,-0.8100495249084868,P
Earth,False,55 Cancri e,-0.6831933962907081,False,-0.3328910286148223,-0.2520645188660365,-0.2886851333869672,-0.03707878037180111,0.08096039570215201,1,E,-0.6555621503681656,S
Earth,False,TRAPPIST-1e,0.14664746341646873,False,-0.28577232734448316,-0.2810556690559196,1.1764805742802713,-0.26913426473608887,-0.2702331032690641,0,F,-0.18662452486475983,S
Europa,True,TRAPPIST-1e,0.6998747032212532,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,C,-1.0603581823915391,S
Europa,False,TRAPPIST-1e,-1.9971080908270713,False,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,A,-1.0388472821390893,P
Earth,True,TRAPPIST-1e,-0.8906536112175022,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,0,F,-0.46587512086929,S
Mars,False,TRAPPIST-1e,1.460562157952832,False,0.8863053667552018,-0.2810556690559196,0.6680212419391292,0.9370248498113687,-0.2702331032690641,0,D,-0.7064060964194105,P
Earth,False,TRAPPIST-1e,0.35410767834326295,False,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,G,-0.991914408861017,S
Earth,False,TRAPPIST-1e,-0.2682729664371197,False,0.6418771039153177,-0.2600833476419616,-0.2886851333869672,-0.19942938540232943,-0.13487727554057455,0,F,0.9382000046997061,P
Europa,False,TRAPPIST-1e,1.1147951330748416,False,-0.3328910286148223,4.335322373945899,0.4890569374637929,-0.256781501309853,0.2876524029091698,1,C,-0.8276493523877639,S
Earth,True,TRAPPIST-1e,-0.1991195614615216,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,0,G,0.654647228644686,P
Mars,False,TRAPPIST-1e,1.3914087529772339,False,0.4799065682985271,-0.2810556690559196,-0.27697718823437517,-0.26913426473608887,-0.10286745141559392,0,F,1.0125103873899872,P
Mars,False,TRAPPIST-1e,1.460562157952832,False,0.9128096362197675,-0.2810556690559196,0.17963267271671632,-0.022078996211371868,-0.2702331032690641,0,F,1.022288069322919,P
Europa,False,TRAPPIST-1e,1.322255348001636,False,-0.3328910286148223,-0.27365367326275797,-0.2886851333869672,6.760470465036841,-0.25651460721550096,0,B,-0.9606258266756355,P
Earth,True,PSO J318.5-22,-0.5448865863395119,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,G,0.2126960052761719,P
Europa,True,TRAPPIST-1e,-0.12996615648592352,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,B,-0.8472047162536275,P
Europa,False,TRAPPIST-1e,-0.2682729664371197,False,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,B,-0.9332483172634266,S
Europa,False,55 Cancri e,0.49241448829445905,False,-0.3314185692001242,5.9051623150789325,-0.2870125697937398,1.212315006167482,-0.24553981037265046,1,B,-0.7885386246560371,S
Earth,True,TRAPPIST-1e,-1.720494470924679,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,0,G,-0.6770730506206154,S
Mars,False,TRAPPIST-1e,-0.12996615648592352,False,0.4843239465426214,-0.2810556690559196,0.955702179974249,-0.26913426473608887,-0.2702331032690641,0,E,-0.991914408861017,P
Earth,False,TRAPPIST-1e,0.49241448829445905,False,-0.3328910286148223,-0.20148421427943183,-0.2886851333869672,-0.11296004141867848,0.1358343799164045,0,F,1.5326830662219553,S
Earth,True,TRAPPIST-1e,1.8063291828308223,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,G,-0.10605642573740243,P
Earth,False,TRAPPIST-1e,-1.2364206360954926,False,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,0,G,-0.3113877463289687,P
Earth,False,TRAPPIST-1e,-0.3374263714127177,False,0.7022479399179397,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,0,F,0.5431816546092644,S
Europa,True,TRAPPIST-1e,-1.0981138261442964,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,C,-0.782672015496278,S
Earth,False,TRAPPIST-1e,0.14664746341646873,False,-0.3328910286148223,-0.2810556690559196,0.0207391313601094,0.2461524381868923,-0.2702331032690641,0,G,1.249130290166935,S
Earth,True,TRAPPIST-1e,-1.0289604211686985,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,0,G,-0.7924496974292098,S
Mars,True,TRAPPIST-1e,-1.7896478759002772,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,F,-0.9567147539024627,S
Earth,False,PSO J318.5-22,1.6680223728796262,False,1.456147160243365,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,0,F,2.481118213716333,P
Mars,False,TRAPPIST-1e,-0.1991195614615216,False,2.2468578659362435,-0.26748534343512326,-0.2886851333869672,-0.26560490375716433,-0.09244139441488594,0,D,-1.0447138912988483,S
Earth,False,TRAPPIST-1e,-0.1991195614615216,False,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,0,F,-0.41737781848194866,S
Earth,False,55 Cancri e,-0.7523468012663062,False,-0.32994610978542604,-0.22985853148655153,0.6747114963120389,-0.23648767568103699,-0.2702331032690641,0,F,2.1740990010222765,P
Earth,False,PSO J318.5-22,-0.06081275151032546,False,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,0.3211513589890385,-0.25560004081193005,0,F,1.5189943115158508,S
Earth,False,55 Cancri e,1.2531019430260377,False,-0.3328910286148223,0.0730064630503128,-0.2886851333869672,-0.26913426473608887,-0.20804258782624457,1,F,-0.5128079941473623,P
Earth,False,TRAPPIST-1e,0.49241448829445905,False,-0.3328910286148223,-0.22060603674509946,0.47400386512474596,-0.02472601694556526,-0.20621345501910282,0,F,2.129121664130791,S
Mars,False,TRAPPIST-1e,0.35410767834326295,False,1.1277887107656897,-0.2810556690559196,-0.26526924308178307,-0.26913426473608887,-0.2702331032690641,0,D,-0.8863154439853543,P
Earth,True,TRAPPIST-1e,-0.06081275151032546,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,0,G,-0.17254466288133818,P
Earth,True,PSO J318.5-22,-0.5448865863395119,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,0,G,-0.6203624954096113,S
Earth,False,TRAPPIST-1e,-0.3374263714127177,False,-0.07668309045735344,-0.2810556690559196,-0.2886851333869672,0.2867400894445244,-0.2702331032690641,0,F,-0.833515961547523,S
Earth,False,TRAPPIST-1e,-0.47573318136391385,False,-0.3328910286148223,-0.2648946449075167,0.8687288731264221,-0.25325214033092847,-0.2702331032690641,1,G,1.2921520906718347,S
Earth,True,TRAPPIST-1e,-1.9971080908270713,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,G,-0.5519187218790892,P
Earth,True,TRAPPIST-1e,1.7371757778552241,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,B,-0.8687156165060772,P
Earth,False,TRAPPIST-1e,1.1147951330748416,False,2.3116460801829595,-0.2810556690559196,-0.28199487901405745,-0.26913426473608887,-0.2656602712512097,0,G,0.12078579510661366,S
Earth,False,TRAPPIST-1e,1.7371757778552241,False,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,0,G,-0.941070462809772,S
Earth,False,PSO J318.5-22,3.051090472391588,False,2.3263706743299406,-0.2810556690559196,-0.2100746445052775,-0.26913426473608887,-0.2702331032690641,0,G,1.6695706132829995,P
Europa,True,TRAPPIST-1e,-0.2682729664371197,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,B,-0.8217827432280049,S
Mars,False,TRAPPIST-1e,-0.61403999131511,False,0.46076459590745183,0.5017053860709252,-0.22512771684432448,-0.26913426473608887,-0.2702331032690641,1,F,-0.5851628404510572,P
Earth,True,55 Cancri e,-1.0289604211686985,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,G,1.112242743105891,P
Europa,True,55 Cancri e,-0.9598070161931003,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,B,-0.5069413849876033,S
Earth,False,55 Cancri e,-1.651341065949081,False,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,G,0.11883025872002732,S
Earth,False,PSO J318.5-22,0.2158008683920668,False,-0.3328910286148223,-0.2810556690559196,0.9423216712284295,-0.26913426473608887,-0.2702331032690641,0,F,0.007364684684605622,P
Earth,False,TRAPPIST-1e,-0.06081275151032546,False,0.6197902126948462,-0.2804388360731561,-0.23516309840368912,-0.20648810736017847,-0.14219380676914156,1,F,0.654647228644686,S
Earth,False,PSO J318.5-22,0.49241448829445905,False,-0.25043330139172887,-0.21727513863817668,-0.1532074823355445,-0.26913426473608887,0.15778397360210553,0,F,1.6871704407622765,P
Mars,True,TRAPPIST-1e,-0.12996615648592352,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,0,E,-0.884359907598768,P
Europa,True,55 Cancri e,2.4287098276112054,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,C,-0.8178716704548322,S
Earth,True,TRAPPIST-1e,-0.47573318136391385,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,G,-0.8765377620524226,S
Earth,False,TRAPPIST-1e,1.1839485380504398,False,0.032278906230305715,0.03945074878797996,-0.2886851333869672,-0.26560490375716433,-0.2702331032690641,0,F,1.7771251145452485,S
Earth,False,TRAPPIST-1e,-0.47573318136391385,False,-0.11791195406890015,0.12235310167139049,-0.2870125697937398,-0.26913426473608887,-0.2684039704619223,1,F,-1.0447138912988483,P
Mars,True,TRAPPIST-1e,0.2849542733676649,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,F,0.07776399460171407,S
Mars,True,55 Cancri e,-0.2682729664371197,True,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,1,F,2.148677027996654,S
Earth,False,TRAPPIST-1e,-0.5448865863395119,False,-0.3328910286148223,-0.27797150414210225,-0.28366744260728494,-0.26913426473608887,0.08059456914072369,0,G,-1.0838246190305751,S
Earth,False,TRAPPIST-1e,-1.5821876609734828,False,-0.3328910286148223,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.2702331032690641,0,F,2.3657415669077384,P
Earth,False,TRAPPIST-1e,-0.3374263714127177,False,0.23842322428803925,-0.2810556690559196,-0.27697718823437517,0.09174289535894418,-0.2702331032690641,0,F,-0.3231209646484868,P
Europa,False,55 Cancri e,1.322255348001636,False,-0.12674671055708872,-0.2027178802449588,-0.2886851333869672,3.3502254191510152,0.2062559929913619,0,C,-1.0505805004586073,P
Europa,False,TRAPPIST-1e,0.9764883231236455,False,-0.32994610978542604,2.0912839826523903,-0.2886851333869672,-0.26648724400189544,0.04620687236645875,1,D,-0.9371593900365993,S
Earth,False,55 Cancri e,-0.12996615648592352,False,0.9422588245137294,-0.2810556690559196,-0.2886851333869672,-0.26913426473608887,-0.24919807598693394,0,G,0.3300281884713527,P
